ID,HR,rMSSD,pNN50,SDNN,HF,LF,LFHF,Time
9_39_45_0,87.33420032,26.90058514,9.150326797,50.7475451,64.05121413,237.9159715,3.714464662,117.9391607
10_3_50_2,87.31928822,26.66538683,7.558139535,33.51009437,115.4960747,266.1021714,2.303993205,118.8289806
9_23_11_1,87.27841945,32.07687397,15.29411765,43.01580709,111.4086632,165.6428521,1.486804054,118.7317453
9_96_21_2,87.25346429,24.2514122,1.183431953,28.20944112,38.88358573,28.80119075,0.740703055,119.0669405
9_38_21_6,87.23181977,35.54647959,22.5433526,48.48908008,357.8447033,254.7848324,0.711998334,118.8013666
9_97_21_4,87.18742318,25.28050562,6.470588235,24.35925531,129.5195219,69.35650529,0.535490745,118.6582191
9_93_21_2,87.16982398,28.0514744,2.906976744,43.8820571,116.8315135,239.5174994,2.050110387,118.4744014
9_96_42_0,87.10677925,20.47825005,1.156069364,25.67213458,59.18995552,101.6395394,1.717175465,118.884572
9_50_21_4,87.05690874,27.41249389,4.678362573,43.24890124,198.7537196,292.3620454,1.470976473,118.6840635
9_45_11_4,87.04312519,88.08712618,63.76811594,60.45980149,828.977412,629.4247775,0.759278562,118.7850934
9_2_11_1,86.96310216,34.62700008,17.94871795,48.78407859,492.6091987,179.2919011,0.36396377,118.35199
9_95_21_0,86.94431677,19.38871225,2.298850575,33.66856717,18.79390702,119.988371,6.384429315,119.1403942
10_83_50_1,86.80500271,68.736286,22.75449102,78.34745039,302.7551958,538.1848871,1.77762395,118.9577481
9_2_11_0,86.79636555,38.9151773,16.4556962,43.42255444,255.9241221,90.86868595,0.355061044,118.4220741
10_106_47_1,86.77179881,22.91364938,4.093567251,27.67524068,89.09754841,63.694358,0.714883396,118.54182
10_85_47_0,86.76953158,18.94337937,2.339181287,35.18089347,68.664525,90.37251506,1.316145638,118.665176
10_85_47_1,86.76953158,19.23081158,2.352941176,32.34737816,88.01510606,205.6607701,2.336653096,118.8355424
9_79_11_2,86.74124691,59.93063356,33.75,81.65339773,502.3500961,553.2109383,1.10124581,115.7239557
9_95_21_1,86.73348238,22.60868462,4.21686747,35.23771053,89.87271323,521.6439743,5.8042531,118.4158918
9_64_21_4,86.68979573,65.68514979,24.50331126,73.40456121,255.9563055,549.7576087,2.147857259,118.9328615
9_79_21_8,86.62533672,50.76074917,39.64497041,63.59289388,642.8040035,389.2057503,0.605481217,118.8969937
9_38_21_7,86.56802252,40.91807076,29.16666667,52.82474461,382.015072,458.5630605,1.200379499,118.5805089
9_36_21_0,86.53421612,27.07755671,7.647058824,48.48433668,98.8339867,206.844999,2.092852934,119.0052235
9_45_11_3,86.52167577,105.8229696,65.71428571,66.02829274,437.6759219,132.0689412,0.30175053,118.9055549
9_38_21_1,86.4662721,36.37793016,21.42857143,49.79213894,313.5037241,390.9754118,1.247115686,118.9218345
9_85_21_2,86.46441428,16.25644557,1.744186047,27.51167622,70.23729171,60.0511122,0.854974768,118.9179407
9_64_21_3,86.43690534,50.68845044,30.90909091,51.12328401,277.3533845,239.7003236,0.864241567,116.0553724
9_85_21_5,86.42422874,16.85393738,1.176470588,31.30790562,33.93926773,161.3203372,4.753206184,118.8776943
9_2_11_2,86.37340323,32.26680944,13.49693252,42.68427389,427.3876807,130.1868465,0.304610667,116.9302844
9_49_21_2,86.36042314,33.08265626,18.23529412,37.50991193,195.3051863,210.8543426,1.079614662,118.9843807
9_96_21_5,86.34825777,25.55310989,1.754385965,27.03172461,85.7614813,155.8997295,1.817829253,118.9870633
9_49_21_7,86.33565984,31.93861295,14.79289941,43.49339249,223.3263448,180.7082833,0.809166888,119.0447482
9_95_11_1,86.32579461,16.51623903,1.764705882,25.29776893,22.79292778,64.20869586,2.817044677,118.8272384
10_66_50_0,86.32396262,18.82040507,2.597402597,31.18804545,39.12086854,149.1874846,3.813501339,118.6266906
