0,1,2,3,No-step
0.2646515755420613,0.7353484244579386,21.0,11.0,36_11_0
0.3108028886706095,0.6891971113293907,21.0,11.0,40_11_1
0.28257730476930853,0.7174226952306912,21.0,11.0,43_11_1
0.4039288153489535,0.5960711846510465,21.0,11.0,45_11_3
0.3947855279591826,0.6052144720408174,21.0,11.0,46_11_0
0.1983996259058946,0.8016003740941055,21.0,11.0,53_11_0
0.23693464505130274,0.7630653549486972,21.0,11.0,79_11_1
0.23509683312085983,0.76490316687914,21.0,21.0,1_21_4
0.25808407469107736,0.7419159253089227,21.0,21.0,5_21_2
0.25734302680408727,0.7426569731959127,21.0,21.0,5_21_4
0.2422138879301537,0.7577861120698463,21.0,21.0,6_21_0
0.24104756254839418,0.7589524374516058,21.0,21.0,11_21_6
0.2681309203308321,0.7318690796691679,21.0,21.0,17_21_1
0.23812064110586115,0.7618793588941387,21.0,21.0,21_21_4
0.2320274752563623,0.7679725247436379,21.0,21.0,23_21_4
0.23331930058390318,0.7666806994160968,21.0,21.0,28_21_2
0.24136875748262512,0.7586312425173747,21.0,21.0,31_21_0
0.24487837730976,0.7551216226902402,21.0,21.0,31_21_1
0.2484217885596908,0.751578211440309,21.0,21.0,31_21_4
0.26012255764045933,0.7398774423595406,21.0,21.0,38_21_0
0.2696747725949307,0.7303252274050693,21.0,21.0,46_21_1
0.44668300154466384,0.5533169984553363,21.0,21.0,49_21_0
0.2395380260853891,0.760461973914611,21.0,21.0,49_21_3
0.25696725616528,0.7430327438347198,21.0,21.0,49_21_4
0.24971017120136693,0.750289828798633,21.0,21.0,53_21_0
0.24967014391931197,0.7503298560806883,21.0,21.0,60_21_1
0.32642592181375746,0.6735740781862424,21.0,21.0,61_21_4
0.48834200162210994,0.5116579983778902,21.0,21.0,62_21_3
0.25733459687898774,0.7426654031210126,21.0,21.0,63_21_1
0.24779117513657067,0.7522088248634295,21.0,21.0,63_21_2
0.25624972962495984,0.7437502703750402,21.0,21.0,67_21_2
0.24592895856386254,0.7540710414361375,21.0,21.0,67_21_4
0.25046501614039934,0.7495349838596007,21.0,21.0,73_21_4
0.3238453140542936,0.6761546859457064,21.0,21.0,78_21_3
0.25385851434476364,0.7461414856552362,21.0,21.0,80_21_4
0.3821465303706621,0.6178534696293378,21.0,11.0,13_11_0
0.5829114795832625,0.4170885204167375,11.0,11.0,13_11_1
0.24933427805410077,0.7506657219458992,21.0,11.0,19_11_1
0.45228859322405573,0.5477114067759441,21.0,11.0,40_11_0
0.2538320949006941,0.746167905099306,21.0,11.0,41_11_1
0.24925652723351607,0.7507434727664838,21.0,11.0,57_11_0
0.2762910004112669,0.7237089995887331,21.0,11.0,58_11_0
0.2569321863131289,0.7430678136868712,21.0,11.0,58_11_1
0.2594339403557707,0.7405660596442294,21.0,11.0,62_11_1
0.42532435612709396,0.5746756438729062,21.0,11.0,63_11_1
0.25773901750683365,0.7422609824931665,21.0,11.0,66_11_0
0.2614166630293177,0.7385833369706826,21.0,11.0,72_11_1
0.26236775065863865,0.7376322493413614,21.0,21.0,3_21_3
0.27090850660580984,0.7290914933941904,21.0,21.0,4_21_3
0.24088753014136952,0.7591124698586303,21.0,21.0,4_21_4
0.44077056669954645,0.5592294333004535,21.0,21.0,4_21_8
0.2766504897955177,0.7233495102044822,21.0,21.0,12_21_4
0.25738785090283,0.74261214909717,21.0,21.0,14_21_2
0.33358677750029936,0.6664132224997007,21.0,21.0,16_21_4
0.26669476501440365,0.7333052349855964,21.0,21.0,22_21_1
0.266287403683298,0.7337125963167019,21.0,21.0,24_21_0
0.21567128389676207,0.7843287161032381,21.0,21.0,24_21_1
0.23186314300675215,0.7681368569932479,21.0,21.0,24_21_2
0.26196585110335446,0.7380341488966454,21.0,21.0,32_21_5
0.31835168008054515,0.681648319919455,21.0,21.0,33_21_0
0.25225277946288976,0.7477472205371103,21.0,21.0,35_21_2
0.34994219672910143,0.6500578032708986,21.0,21.0,35_21_4
0.25656346405693764,0.7434365359430625,21.0,21.0,36_21_2
0.2502762461794906,0.7497237538205094,21.0,21.0,37_21_1
0.2783084210364517,0.7216915789635482,21.0,21.0,43_21_1
0.24156648813651121,0.7584335118634887,21.0,21.0,43_21_5
0.2501273178539129,0.7498726821460873,21.0,21.0,44_21_5
0.30606125281494323,0.6939387471850568,21.0,21.0,45_21_1
0.2552941602925547,0.7447058397074454,21.0,21.0,49_21_2
0.25758889603007257,0.7424111039699272,21.0,21.0,49_21_5
0.2872681822471775,0.7127318177528228,21.0,21.0,51_21_0
0.29924630628463705,0.7007536937153631,21.0,21.0,55_21_1
0.23945650705292543,0.7605434929470745,21.0,21.0,56_21_2
0.35505321764937453,0.6449467823506255,21.0,21.0,62_21_2
0.6450345906274987,0.3549654093725013,11.0,21.0,63_21_0
0.34468616319741363,0.6553138368025864,21.0,21.0,65_21_3
0.3207099615813234,0.6792900384186764,21.0,21.0,67_21_0
0.22304493077064583,0.776955069229354,21.0,21.0,67_21_3
0.24858905750439012,0.7514109424956099,21.0,21.0,79_21_0
0.27538653444054617,0.724613465559454,21.0,21.0,79_21_6
0.40256856707204086,0.5974314329279591,21.0,11.0,21_11_0
0.25040339632141334,0.7495966036785866,21.0,11.0,21_11_1
0.26998151700448664,0.7300184829955133,21.0,11.0,30_11_1
0.2714491330562454,0.7285508669437546,21.0,11.0,32_11_0
0.26734100853684745,0.7326589914631526,21.0,11.0,39_11_0
0.3432262817320613,0.656773718267939,21.0,11.0,45_11_2
0.29478506584013436,0.7052149341598658,21.0,11.0,55_11_0
0.2898740596223181,0.710125940377682,21.0,11.0,61_11_1
0.2869321254140251,0.713067874585975,21.0,11.0,67_11_1
0.2917453666318046,0.7082546333681956,21.0,11.0,70_11_1
0.26162630194565684,0.7383736980543433,21.0,11.0,75_11_0
0.27668313925092436,0.7233168607490758,21.0,11.0,78_11_2
0.354158892386785,0.6458411076132149,21.0,11.0,82_11_0
0.26998663250529087,0.7300133674947089,21.0,21.0,1_21_5
0.2715694812924243,0.7284305187075756,21.0,21.0,2_21_1
0.2536827908241602,0.7463172091758399,21.0,21.0,3_21_0
0.30987142131986994,0.6901285786801301,21.0,21.0,6_21_3
0.2509068371481774,0.7490931628518227,21.0,21.0,7_21_4
0.3065557407776108,0.6934442592223892,21.0,21.0,8_21_0
0.26584451465390674,0.7341554853460931,21.0,21.0,8_21_5
0.24582187268975864,0.7541781273102413,21.0,21.0,9_21_2
0.258896324954756,0.7411036750452441,21.0,21.0,12_21_3
0.244639789653268,0.7553602103467321,21.0,21.0,14_21_0
0.2657038647818584,0.7342961352181416,21.0,21.0,14_21_1
0.4853040602090583,0.5146959397909415,11.0,21.0,21_21_1
0.2634291309918635,0.7365708690081365,21.0,21.0,23_21_0
0.2822059072367737,0.7177940927632264,21.0,21.0,28_21_3
0.27369965921763656,0.7263003407823633,21.0,21.0,31_21_6
0.3001195438351141,0.6998804561648856,21.0,21.0,33_21_1
0.25006963510804836,0.7499303648919516,21.0,21.0,38_21_2
0.24323253524194902,0.7567674647580511,21.0,21.0,40_21_2
0.2205377674871246,0.7794622325128754,21.0,21.0,43_21_0
0.4575003153866916,0.5424996846133084,11.0,21.0,43_21_2
0.23911314796186695,0.7608868520381333,21.0,21.0,43_21_3
0.2713883884470655,0.7286116115529343,21.0,21.0,51_21_3
0.2530493886759395,0.7469506113240604,21.0,21.0,53_21_1
0.2614899375281705,0.7385100624718295,21.0,21.0,57_21_2
